id,sigla,nome,casa,siglaTipo,descricaoTipo,dataInicio,dataFim
7353461,FPBSJA,Frente Parlamentar por um Brasil sem Jogos de Azar,CN,COMISSAO_PERMANENTE,Comissão Permanente,2022-04-28,
7360374,,Fundação Benjamin Guimarães - Hospital da Baleia,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7360602,,Fundação Benjamin Guimarães - Hospital da Baleia,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7353504,,Fundação Europeia de Medicina Tradicional Complementar e Integrativa,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7370242,,Fundação Joaquim Nabuco,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7352667,,Fundação Nacional das Operações Portuárias - FENOP,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7352918,FIOCRUZ,Fundação Oswaldo Cruz,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7359949,,Fundação Oswaldo Cruz,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7379553,,FÓRUM DAS ASSOCIAÇÕES DO SETOR ELÉTRICO - FASE,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7376244,,FÓRUM DAS ASSOCIAÇÕES DO SETOR ELÉTRICO - FASE.,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7381344,,FÓRUM DAS ASSOCIAÇÕES DO SETOR ELÉTRICO - FASE.,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7375161,,FÓRUM DO MEIO AMBIENTE E SUSTENTABILIDADE DO SETOR ELÉTRICO - FMASE,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7366399,,"Fórum Audiovisual Minas Gerais, Espirito Santos e Estados do Sul",,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7378472,,Fórum Brasileiro de Movimentos Sociais pelo Meio Ambiente,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7361334,,Fórum Capixaba de Comitês de Bacias Hidrográficas – FCCBH,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7364956,,Fórum Catarinense de Combate aos Impactos dos Agrotóxicos e Transgênicos - FCCIAT,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7365807,,Fórum Mineiro de Comitês de Bacias Hidrográficas,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7366156,,Fórum Mineiro de Comitês de Bacias Hidrográficas,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7364494,,Fórum Mineiros dos Comitês de Bacias Hidrográficas Câmara Municipal/MG,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7360143,,Fórum Nacional Permanente de Careiras Típicas de Estado - FONACATE,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
